    1	  5972.180   5972.180
    2	  5972.180   5972.180
    3	  5972.180   5972.180
    4	  5972.180   5972.180
    5	  5978.359   5978.359
    6	  5981.378   5981.378
    7	  5984.412   5984.412
    8	  5984.412   5984.412
    9	  5984.412   5984.412
   10	  5984.412   5984.412
   11	  5986.816   5986.816
   12	  5986.816   5986.816
   13	  5988.338   5988.338
   14	  5988.338   5988.338
   15	  5988.611   5988.611
   16	  5989.649   5989.649
   17	  5989.649   5989.649
   18	  5990.488   5990.488
   19	  5990.488   5990.488
   20	  5990.488   5990.488
   21	  5990.488   5990.488
   22	  5991.598   5991.598
   23	  5991.598   5991.598
   24	  5991.716   5991.716
   25	  5994.331   5994.331
   26	  5994.399   5994.399
   27	  5994.399   5994.399
   28	  5994.399   5994.399
   29	  5994.399   5994.399
   30	  5994.399   5994.399
   31	  5994.399   5994.399
   32	  5994.399   5994.399
   33	  5994.399   5994.399
   34	  5994.822   5994.822
   35	  5994.961   5994.961
   36	  5994.961   5994.961
   37	  5994.961   5994.961
   38	  5995.132   5995.132
   39	  5995.132   5995.132
   40	  5996.442   5996.442
   41	  5996.475   5996.475
   42	  5999.146   5999.146
   43	  5999.146   5999.146
   44	  5999.146   5999.146
   45	  5999.717   5999.717
   46	  5999.717   5999.717
   47	  5999.717   5999.717
   48	  5999.717   5999.717
   49	  5999.717   5999.717
   50	  5999.717   5999.717
   51	  5999.789   5999.789
   52	  5999.983   5999.983
   53	  5999.983   5999.983
   54	  6000.632   6000.632
   55	  6000.774   6000.774
   56	  6000.774   6000.774
   57	  6000.774   6000.774
   58	  6000.774   6000.774
   59	  6000.774   6000.774
   60	  6000.774   6000.774
   61	  6000.833   6000.833
   62	  6000.833   6000.833
   63	  6000.833   6000.833
   64	  6000.833   6000.833
   65	  6001.106   6001.106
   66	  6001.323   6001.323
   67	  6001.323   6001.323
   68	  6001.499   6001.499
   69	  6001.574   6001.574
   70	  6001.574   6001.574
   71	  6001.574   6001.574
   72	  6001.574   6001.574
   73	  6001.724   6001.724
   74	  6001.724   6001.724
   75	  6001.984   6001.984
   76	  6001.984   6001.984
   77	  6002.823   6002.823
   78	  6002.823   6002.823
   79	  6002.823   6002.823
   80	  6002.853   6002.853
   81	  6002.853   6002.853
   82	  6002.853   6002.853
   83	  6002.853   6002.853
   84	  6002.853   6002.853
   85	  6002.853   6002.853
   86	  6002.853   6002.853
   87	  6002.853   6002.853
   88	  6002.853   6002.853
   89	  6002.853   6002.853
   90	  6002.853   6002.853
   91	  6002.853   6002.853
   92	  6002.863   6002.863
   93	  6002.863   6002.863
   94	  6002.863   6002.863
   95	  6002.863   6002.863
   96	  6003.041   6003.041
   97	  6003.354   6003.354
   98	  6003.354   6003.354
   99	  6003.354   6003.354
  100	  6003.354   6003.354
  101	  6003.533   6003.533
  102	  6004.100   6004.100
  103	  6004.428   6004.428
